"","baseMean","log2FoldChange.x","lfcSE.x","stat","pvalue.x","padj.x","log2FoldChange.y","lfcSE.y","pvalue.y","padj.y"
"Dpp4",11.2832908927407,1.55646537739772,0.587552591247698,2.64906563358437,0.00807146546541712,0.0259490171763448,1.00855326489393,0.711876413417205,0.00807146546541712,0.0259490171763448
"Scin",44.0061756561481,1.13812474571072,0.283566140726489,4.01361298917731,5.97963587116524e-05,0.00035487997037211,1.00945555481743,0.29489526113453,5.97963587116524e-05,0.00035487997037211
"Arrdc3",619.83992033886,1.02718966654271,0.106938186317621,9.60545247599221,7.58241581863638e-22,3.28161727378294e-20,1.00966813771099,0.10754490352762,7.58241581863638e-22,3.28161727378294e-20
"Tmcc3",354.080586490648,1.05001168581431,0.151140939114369,6.94723542123661,3.72513790207957e-12,6.84541812723289e-11,1.01322655083715,0.152921737748161,3.72513790207957e-12,6.84541812723289e-11
"Rara",843.03159653738,1.03705304024973,0.11581716346283,8.95422586120032,3.42127777852978e-19,1.21989935790702e-17,1.01554576117525,0.116825331197841,3.42127777852978e-19,1.21989935790702e-17
"Adora2b",184.169629846528,1.10411277374219,0.233264029694945,4.73331775664729,2.20879286619635e-06,1.751267167633e-05,1.01684602623884,0.240222943974716,2.20879286619635e-06,1.751267167633e-05
"Padi4",487.119901651247,2.14591619236462,0.820766489405675,2.6145270549709,0.00893510837021235,0.0283121800440634,1.02000689630277,1.75096709352797,0.00893510837021235,0.0283121800440634
"Abca2",2151.85084247054,1.03177143118097,0.0854092765722013,12.0803204592039,1.34195699795941e-33,1.20306444867061e-31,1.02052724978884,0.0857161832141842,1.34195699795941e-33,1.20306444867061e-31
"Wdyhv1",231.683288191017,1.05156299296206,0.137727143519326,7.63511800282494,2.25613686530575e-14,5.1298503254443e-13,1.02154892082233,0.139002316961692,2.25613686530575e-14,5.1298503254443e-13
"Tent5a",942.796886985099,1.05300322118041,0.134567168043009,7.82511244380103,5.07203366997379e-15,1.22894005003554e-13,1.02424523969275,0.135926999462708,5.07203366997379e-15,1.22894005003554e-13
"Sort1",3572.96447072142,1.05461823166609,0.125684733669321,8.39098115480605,4.82101618084077e-17,1.44068033537458e-15,1.02771865172387,0.126717466456948,4.82101618084077e-17,1.44068033537458e-15
"Dusp22",826.735655814534,1.03735270198048,0.0718657958549516,14.4345817038497,3.13542119512084e-47,5.17798308157391e-45,1.02841804847743,0.0720392450372379,3.13542119512084e-47,5.17798308157391e-45
