"","p_val","avg_log2FC","pct.1","pct.2","p_val_adj"
"Lpcat2",3.57763272467465e-97,0.538018488021825,0.915,0.757,5.73601854747087e-93
"Lgals3",8.80473065619888e-97,0.531235301078878,0.977,0.912,1.41166246610837e-92
"Atp5o",3.77305100073767e-96,-0.644826006176484,0.419,0.693,6.04933266948271e-92
"Tcn2",1.37331808330844e-95,-0.454624197657044,0.973,0.987,2.20184088296843e-91
"Pde3b",1.13724627707634e-94,0.689685273888539,0.925,0.811,1.8233469560365e-90
"Il17ra",1.4659408672057e-94,0.484465945413929,0.75,0.473,2.3503429923909e-90
"Cd38",1.65495199792823e-94,-0.65052899401064,0.351,0.661,2.65338453827834e-90
"Ltc4s",1.90198776450664e-94,-0.54759811991579,0.979,0.987,3.04945698283349e-90
"Pag1",3.6268272486139e-94,0.635491697995944,0.874,0.723,5.81489212770266e-90
"Retnla",3.75516290440597e-94,-1.88825482832878,0.138,0.446,6.02065268463409e-90
"Fgfr1",1.5814368743165e-93,-0.486556072072288,0.977,0.986,2.53551774059165e-89
"S100a6",2.73112850582259e-93,0.89418911174209,0.928,0.747,4.37881833338537e-89
"Gngt2",4.31636984110231e-93,0.453163798925025,0.995,0.973,6.92043576623934e-89
"Snx8",9.02349370211635e-93,-0.378636031279205,0.206,0.521,1.44673674526031e-88
"Dse",2.05081943342942e-92,-0.517267962216459,0.518,0.788,3.28807879761738e-88
"Rilpl2",3.17532679751667e-92,-0.505768040047888,0.343,0.636,5.09100145445847e-88
"Zfp36l2",3.83447587146668e-92,0.487235909261341,0.988,0.95,6.14781516472253e-88
"Zfp395",4.06557697688411e-92,-0.492942101867859,0.567,0.816,6.5183395670383e-88
"Stxbp3",1.80082967622204e-90,-0.673055740696839,0.589,0.808,2.8872702198868e-86
"C3",3.3252886583294e-90,0.596284961639661,0.864,0.669,5.33143530589953e-86
"Cd44",3.98890761492664e-90,0.524828605580636,0.951,0.882,6.39541557901188e-86
"Setbp1",7.09324008077213e-90,0.667682749950326,0.582,0.263,1.1372591821502e-85
"Rpl10a",3.73743696743741e-89,-0.345894421028648,0.995,0.991,5.9922326898924e-85
"Arg1",3.83627817929929e-89,-0.559395762586749,0.012,0.208,6.15070480487055e-85
"St8sia6",5.1025800454193e-89,0.553118404325642,0.951,0.877,8.18096658682076e-85
"Laptm5",6.96053597178383e-89,0.327235031740064,1,0.999,1.1159827323561e-84
"Cd93",2.05418843259551e-87,-0.515434843056837,0.645,0.874,3.29348031398038e-83
"Cd63",2.2277956671224e-87,-0.411687339137841,0.114,0.395,3.57182479309734e-83
"Prtg",2.59782535762848e-85,-0.422285157864215,0.006,0.187,4.16509339588574e-81
"Tspan32",3.22430720912803e-85,-0.36346570090432,0.156,0.452,5.16953174839497e-81
"F5",3.29742010913311e-85,0.410932646909024,0.996,0.988,5.28675366097312e-81
"Eef1a1",5.25823817061499e-85,-0.284849447289134,0.999,0.998,8.43053325894701e-81
"Ric1",1.27447584263906e-83,-0.444385243905082,0.359,0.647,2.0433671185032e-79
"Gm21188",3.35266360585831e-83,-0.748493873684572,0.335,0.614,5.37532555927264e-79
"Fmn1",5.90587039554679e-83,-0.426085552679968,0.228,0.532,9.46888200518017e-79
"Unc93b1",1.30859575454699e-82,0.390618405023278,0.991,0.964,2.09807157326519e-78
"Thada",2.33813186634746e-82,0.682479069853329,0.798,0.602,3.74872682131488e-78
"Cp",7.87845643444292e-82,-0.432303202273922,0.199,0.493,1.26315292013423e-77
"Sem1",2.29133976701381e-81,0.323332530794449,0.997,0.985,3.67370504845325e-77
"Dynll1",2.70469391286848e-81,0.471281484574485,0.939,0.835,4.33643575050203e-77
"Cfp",1.12096620970539e-80,0.382771469800646,0.999,0.995,1.79724512402065e-76
"Tspan13",3.72985208977943e-79,0.435431831866995,0.761,0.506,5.98007185554335e-75
"Rps8",5.36836812433596e-79,-0.25281514821664,1,0.999,8.60710461374785e-75
"Lsp1",6.75328081837365e-79,0.388048770588726,0.989,0.972,1.08275351360985e-74
"Snx2",1.40328431242258e-78,-0.475818621028358,0.784,0.903,2.24988573810713e-74
"Rps15",1.46806210733155e-78,-0.26767771532097,0.999,0.998,2.35374397668467e-74
"Wipf1",1.67582588137669e-78,0.499414022121215,0.971,0.917,2.68685163561125e-74
"Rps12",5.1745388692816e-78,-0.244377230990358,0.999,0.999,8.29633816911919e-74
"Hexb",8.15595801208076e-78,0.452259377998592,0.927,0.807,1.30764474807691e-73
"S100a11",8.99464614968219e-78,0.536641912621977,0.818,0.624,1.44211161717855e-73
"Ifitm6",1.22901597138432e-77,0.484166556842637,0.963,0.922,1.97048130692048e-73
"Ms4a6c",2.3749595129991e-77,0.552325027607044,0.671,0.389,3.80777258719145e-73
"Rgl1",3.54939546404172e-77,-0.486361833599152,0.398,0.671,5.6907457474981e-73
"Sorl1",5.80777377429779e-77,0.290758445201976,0.325,0.063,9.31160369233165e-73
"Arrb2",1.04998938005254e-76,-0.430202250717247,0.825,0.926,1.68344797303824e-72
"Ckb",2.32492337329087e-76,0.510289684795213,0.966,0.897,3.72754964439725e-72
"Rps3a1",3.03195266730248e-76,-0.244601450011817,1,0.998,4.86112971148607e-72
"Rps29",3.25279771629594e-76,-0.240250090269802,1,0.999,5.21521057853728e-72
"Rpl23",3.76007015633099e-76,-0.260374497808972,0.998,0.996,6.02852048164548e-72
"Uqcrq",1.30761927554892e-75,0.405912156131548,0.964,0.882,2.09650598448759e-71
"Nupr1",3.87885542009012e-75,-0.534705654594031,0.815,0.913,6.21896889503048e-71
"Rpl36",9.33620001726545e-75,-0.271194551436102,0.998,0.994,1.49687294876817e-70
"Clec4b1",3.7940212220669e-74,0.323515907126842,0.248,0.022,6.08295422533987e-70
"Pkm",4.41510300298908e-74,0.422493034097376,0.969,0.929,7.0787346446924e-70
"Cyfip1",6.62956626713779e-74,-0.412421013852025,0.931,0.966,1.0629183596102e-69
"Dok2",2.61818959203494e-73,-0.410874698417392,0.405,0.675,4.19774337290962e-69
"Myo1f",2.14092493006758e-72,0.472149094884731,0.945,0.886,3.43254494037734e-68
"Ndufa1",2.41240169505895e-72,0.390403526826799,0.985,0.95,3.86780363768801e-68
