"","p_val","avg_log2FC","pct.1","pct.2","p_val_adj"
"Zfp710",0.0792339275195369,0.0425050427241829,0.197,0.151,1
"Rab10",0.0792691580347419,-0.00100295475116197,0.366,0.289,1
"Psmd10",0.0793286650033123,0.0571819581383708,0.166,0.127,1
"Plpbp",0.0793757138859958,-0.115022621131535,0.087,0.113,1
"Jarid2",0.0794864217612722,-0.0756626265229515,0.242,0.186,1
"Rpf2",0.0796254528916925,-0.0195177881467966,0.107,0.076,1
"Git2",0.0797930860727252,-0.0409712460668119,0.201,0.151,1
"Slamf8",0.0798435237542484,0.0200602013747874,0.255,0.204,1
"Opa3",0.079906042379519,-0.0114134997034705,0.165,0.125,1
"Surf1",0.08029465969201,0.003141004632919,0.184,0.138,1
"Celf2",0.0803678002259776,-0.0301154318882899,0.486,0.391,1
"Prpf40a",0.0804183905944229,-0.0568311058742579,0.331,0.263,1
"Dhrs7b",0.0806500994915637,0.0119443757059178,0.108,0.077,1
"Elob",0.0806986542093316,0.0586868711460524,0.873,0.785,1
"Atp6v1b2",0.0808308543443033,-0.0448689245635054,0.292,0.224,1
"Ppp2r5a",0.0808672219178913,0.0492896770430238,0.312,0.25,1
"Pnn",0.0809689371065175,0.0119008229817028,0.163,0.123,1
"Mrps23",0.0811356704251916,-0.0150619727762288,0.163,0.122,1
"Fubp1",0.081397147557574,-0.0310900509188664,0.223,0.176,1
"Bcor",0.0815376693653528,-0.0380984134870005,0.119,0.086,1
"Fam168a",0.0816227241198603,-0.0111174781868066,0.109,0.079,1
"Rassf2",0.0817888318492567,-0.176078562895865,0.136,0.16,1
"Slc41a3",0.0818224507792382,-0.0148892171738804,0.119,0.086,1
"Iscu",0.08196159868227,-0.0296430913509604,0.49,0.387,1
"Dgkz",0.0824695737331176,0.0172558506555219,0.139,0.102,1
"Ccdc50",0.082505923180348,-0.100291587392952,0.395,0.308,1
"Dhx15",0.0830681413546027,0.0170941944408397,0.217,0.169,1
"Ids",0.0832142188575626,0.0085313415763093,0.168,0.127,1
"Cpd",0.0832815926108927,-0.00699060405259216,0.141,0.104,1
"Phf5a",0.0833190121077328,0.0212254933664602,0.314,0.248,1
"Fads1",0.083397026861732,-0.134588864388477,0.1,0.125,1
"Hacd2",0.0834202707296706,-0.0301077474166966,0.168,0.123,1
"Stx6",0.0838529902390015,-0.0316743223863906,0.144,0.107,1
"Fam107b",0.0839183207892581,-0.0639067927375345,0.253,0.196,1
"Timm22",0.0840312522333139,-0.00735074285122023,0.101,0.071,1
"Stard3nl",0.0846638865158705,0.0136038991258455,0.452,0.367,1
"Calr",0.0848059972155002,0.0443996613291113,0.861,0.771,1
"Xab2",0.0852415228563124,0.0109345217505666,0.109,0.077,1
"Tmpo",0.0855930639499886,-0.00678844323686467,0.177,0.135,1
"Bcap31",0.0856566001044875,-0.0309238653804749,0.587,0.484,1
"Ptpn6",0.0864275941149863,-0.00622886978822845,0.548,0.441,1
"Phb",0.0873386159079256,-0.0512510565408725,0.155,0.113,1
"Sf3a2",0.0877029906283699,-0.00968238982834069,0.157,0.117,1
"Araf",0.0877677682082058,0.0274311192147115,0.118,0.086,1
"Tmem251",0.0877951031407061,-0.197134866074883,0.234,0.253,1
"Nabp2",0.0879125181233621,0.00185222095781606,0.231,0.176,1
"Tesk1",0.088029255396785,-0.00777196089293714,0.172,0.13,1
"Ndufb9",0.0880640896618304,-0.0185054708598191,0.659,0.551,1
"Pacs2",0.0882151314017506,-0.0140511959926543,0.15,0.112,1
"Dnmt3a",0.0886043453901562,-0.190298592698891,0.087,0.112,1
"Tspyl1",0.0886256534477734,-0.01913210246223,0.115,0.082,1
"Slc8b1",0.0887868038352886,-0.01628238412736,0.13,0.095,1
"Lgals1",0.0890505976252302,-0.233538100769457,0.528,0.525,1
"P2rx7",0.0891468554773204,-0.165491057524773,0.086,0.109,1
"Dnajb9",0.089377192389858,0.0123908911833217,0.317,0.258,1
"Cenpx",0.0895106594002867,-0.00183045965017081,0.521,0.418,1
"Sec22b",0.0897333317509244,-0.0413583416422656,0.148,0.11,1
"Atp2c1",0.0898238110313088,-0.0212859440135775,0.206,0.158,1
