"","p_val","avg_log2FC","pct.1","pct.2","p_val_adj","cluster","gene"
"Stx31",1.73307948180482e-52,0.410326701811469,0.405,0.226,2.77864633317766e-48,"Ly6C+ CM WT","Stx3"
"Nubp1",2.34728266411638e-52,0.297178567562504,0.365,0.187,3.76339829537779e-48,"Ly6C+ CM WT","Nubp1"
"Mndal1",3.48764262335003e-52,0.808807173937524,0.671,0.46,5.5917374180171e-48,"Ly6C+ CM WT","Mndal"
"Ptprc2",3.85727341103961e-52,0.480650956511628,0.94,0.899,6.18436645991981e-48,"Ly6C+ CM WT","Ptprc"
"Dhx581",4.16154159433201e-52,0.316296232391948,0.3,0.141,6.67219963819251e-48,"Ly6C+ CM WT","Dhx58"
"Cox7b3",7.58393499216669e-52,0.416731330858447,0.774,0.605,1.21593229729408e-47,"Ly6C+ CM WT","Cox7b"
"Mcm4",7.76392645406523e-52,0.257996468261541,0.208,0.075,1.24479032838028e-47,"Ly6C+ CM WT","Mcm4"
"Cript",1.23662674785613e-51,0.361608625250336,0.585,0.394,1.98268366483773e-47,"Ly6C+ CM WT","Cript"
"Stat3",3.62226770248994e-51,0.391854399775736,0.907,0.806,5.80758180740212e-47,"Ly6C+ CM WT","Stat3"
"Coq10b",4.1008814365693e-51,0.27220555151496,0.776,0.524,6.57494320725156e-47,"Ly6C+ CM WT","Coq10b"
"Zfp516",5.00939723729388e-51,0.503457611090594,0.632,0.437,8.03156659055328e-47,"Ly6C+ CM WT","Zfp516"
"Hspa1b",6.69779719441434e-51,1.39289879578334,0.631,0.443,1.07385782418045e-46,"Ly6C+ CM WT","Hspa1b"
"Lztfl1",7.7941063941449e-51,0.401668322727566,0.343,0.177,1.24962907817325e-46,"Ly6C+ CM WT","Lztfl1"
"Rpl7a3",1.91608135376014e-50,0.357263484942034,0.919,0.906,3.07205323448364e-46,"Ly6C+ CM WT","Rpl7a"
"Herpud1",2.17539178806448e-50,0.422299121584304,0.805,0.673,3.48780565380378e-46,"Ly6C+ CM WT","Herpud1"
"Eva1b",5.26970591220664e-50,0.259607932973156,0.309,0.137,8.44891948904091e-46,"Ly6C+ CM WT","Eva1b"
"Cmc1",6.91999715458936e-50,0.378835791894289,0.476,0.298,1.10948314379531e-45,"Ly6C+ CM WT","Cmc1"
"Vps37c",7.97755293789818e-50,0.285310093797377,0.344,0.169,1.27904106253321e-45,"Ly6C+ CM WT","Vps37c"
"Ufm1",8.02281598670278e-50,0.33615473314745,0.51,0.324,1.28629808714806e-45,"Ly6C+ CM WT","Ufm1"
"Eipr1",2.39596250472876e-49,0.294858073585841,0.304,0.145,3.84144668383163e-45,"Ly6C+ CM WT","Eipr1"
"Tbcb",4.68854869505739e-49,0.454770183572456,0.599,0.433,7.51715012278551e-45,"Ly6C+ CM WT","Tbcb"
"Hcls11",5.1275183534948e-49,0.397209790357666,0.756,0.628,8.22095017615821e-45,"Ly6C+ CM WT","Hcls1"
"Ldha2",5.16323297840104e-49,0.570610977302079,0.767,0.657,8.27821143427038e-45,"Ly6C+ CM WT","Ldha"
"Camta2",8.31676807376895e-49,0.459721860274114,0.448,0.27,1.33342742526738e-44,"Ly6C+ CM WT","Camta2"
