"","p_val","avg_log2FC","pct.1","pct.2","p_val_adj","cluster","gene"
"Snrpf",3.18552941173579e-22,0.272311494932893,0.639,0.528,5.107359305836e-18,"Ly6C+ CM WT","Snrpf"
"Gcsh",3.39268310527245e-22,0.270125421835998,0.252,0.156,5.43948882268332e-18,"Ly6C+ CM WT","Gcsh"
"Hnrnph2",4.13401324793839e-22,0.296720029070564,0.569,0.462,6.62806344041962e-18,"Ly6C+ CM WT","Hnrnph2"
"Xbp11",4.69774836845873e-22,0.326739628490632,0.741,0.625,7.53189995914988e-18,"Ly6C+ CM WT","Xbp1"
"Chd2",5.85619096078627e-22,0.265914644774187,0.761,0.661,9.38923096742863e-18,"Ly6C+ CM WT","Chd2"
"Lyn1",6.18978913146599e-22,0.39958466765835,0.961,0.924,9.92408891447942e-18,"Ly6C+ CM WT","Lyn"
"Mrpl14",7.93220439235332e-22,0.263510634670122,0.48,0.369,1.27177033022601e-17,"Ly6C+ CM WT","Mrpl14"
"Nabp11",1.00312768095713e-21,0.301362679846189,0.371,0.253,1.60831461087857e-17,"Ly6C+ CM WT","Nabp1"
"Kdm6a1",1.35968371214666e-21,0.374083410955986,0.535,0.425,2.17998089568474e-17,"Ly6C+ CM WT","Kdm6a"
"Zfp3661",1.84320660088592e-21,0.320502500493907,0.112,0.046,2.9552131432004e-17,"Ly6C+ CM WT","Zfp366"
"Mysm1",1.95618159004165e-21,0.325138376562621,0.439,0.322,3.13634594331378e-17,"Ly6C+ CM WT","Mysm1"
"Tob21",4.58587217253829e-21,0.428064305758021,0.605,0.529,7.35252885423065e-17,"Ly6C+ CM WT","Tob2"
"Smc5",6.85403171471757e-21,0.356370546503055,0.33,0.227,1.09890690482067e-16,"Ly6C+ CM WT","Smc5"
"Eif3j2",9.89395700963212e-21,0.280916420950907,0.493,0.379,1.58629812735432e-16,"Ly6C+ CM WT","Eif3j2"
"Abr1",1.50911111963319e-20,0.605453197453112,0.705,0.614,2.4195578581079e-16,"Ly6C+ CM WT","Abr"
"Clec4d1",1.55080810893489e-20,0.371866896116415,0.458,0.314,2.48641064105531e-16,"Ly6C+ CM WT","Clec4d"
"Ifnar21",1.97775608775197e-20,0.320839792780292,0.813,0.732,3.17093633549273e-16,"Ly6C+ CM WT","Ifnar2"
"Zup1",2.08133084125234e-20,0.457145937785638,0.424,0.322,3.33699773777988e-16,"Ly6C+ CM WT","Zup1"
"Cnbp",2.951349983235e-20,0.286624524831459,0.774,0.753,4.73189942812067e-16,"Ly6C+ CM WT","Cnbp"
"Rpp211",3.01129028895877e-20,0.295497305542251,0.387,0.287,4.8280017202876e-16,"Ly6C+ CM WT","Rpp21"
"Anxa23",3.55132457416028e-20,0.295546868494653,0.493,0.355,5.69383868975118e-16,"Ly6C+ CM WT","Anxa2"
"Hsph1",3.67806652935635e-20,0.369138260916508,0.412,0.3,5.89704406651703e-16,"Ly6C+ CM WT","Hsph1"
"Eno12",3.80572667603708e-20,0.252711783683883,0.67,0.516,6.10172157969026e-16,"Ly6C+ CM WT","Eno1"
"Mbtd11",4.13153852495756e-20,0.367066914494768,0.596,0.488,6.62409571706445e-16,"Ly6C+ CM WT","Mbtd1"
"Golph3",6.21667051454855e-20,0.252028521444307,0.517,0.406,9.96718783597569e-16,"Ly6C+ CM WT","Golph3"
"Cdk11b",6.23252072356454e-20,0.301994298139388,0.57,0.451,9.99260047609102e-16,"Ly6C+ CM WT","Cdk11b"
"Slc26a21",6.33714703987649e-20,0.345752678796723,0.415,0.312,1.0160347849034e-15,"Ly6C+ CM WT","Slc26a2"
"Nktr",6.88394024652554e-20,0.334941467095861,0.767,0.703,1.10370213972544e-15,"Ly6C+ CM WT","Nktr"
"Lmbrd1",7.01907617537669e-20,0.398104775864362,0.67,0.594,1.12536848319815e-15,"Ly6C+ CM WT","Lmbrd1"
"Setdb2",1.08304307825359e-19,0.351064073223312,0.212,0.127,1.73644296736397e-15,"Ly6C+ CM WT","Setdb2"
"Plgrkt",1.17088817476164e-19,0.277545373328866,0.553,0.445,1.87728501059533e-15,"Ly6C+ CM WT","Plgrkt"
"Fcgr1",1.24329498723305e-19,0.329417922404545,0.63,0.507,1.99337485303075e-15,"Ly6C+ CM WT","Fcgr1"
"Diaph12",2.76694565863172e-19,0.362732194116049,0.699,0.548,4.43624397448423e-15,"Ly6C+ CM WT","Diaph1"
"Aldoa1",7.01897376978811e-19,0.395543523091546,0.717,0.681,1.12535206451013e-14,"Ly6C+ CM WT","Aldoa"
"Ndufa112",1.47846548895923e-18,0.250254111798992,0.568,0.456,2.37042371844833e-14,"Ly6C+ CM WT","Ndufa11"
"M6pr1",1.8226051805866e-18,0.256099100633888,0.666,0.6,2.9221828860345e-14,"Ly6C+ CM WT","M6pr"
"Slfn51",2.72278191712314e-18,0.650788165966821,0.464,0.358,4.36543624772353e-14,"Ly6C+ CM WT","Slfn5"
"Vamp41",3.13188556893937e-18,0.327393373118131,0.666,0.563,5.02135213268049e-14,"Ly6C+ CM WT","Vamp4"
"Tbc1d8",9.43761001986297e-18,0.347226938264549,0.328,0.23,1.51313201448463e-13,"Ly6C+ CM WT","Tbc1d8"
"Crlf3",1.13431829475951e-17,0.486218692468917,0.673,0.621,1.81865252198793e-13,"Ly6C+ CM WT","Crlf3"
"Vcpip11",2.7292688100804e-17,0.274917865261325,0.435,0.337,4.3758366832019e-13,"Ly6C+ CM WT","Vcpip1"
"Lrrc251",3.4762161462369e-17,0.286333329798737,0.618,0.548,5.57341734726162e-13,"Ly6C+ CM WT","Lrrc25"
"Map3k14",6.46517312344651e-17,0.336642312100317,0.573,0.48,1.03656120688218e-12,"Ly6C+ CM WT","Map3k14"
"Nod11",6.73130328123744e-17,0.382611799627214,0.335,0.252,1.0792298550808e-12,"Ly6C+ CM WT","Nod1"
"Tm2d21",7.81599709825487e-17,0.346907184577485,0.413,0.333,1.2531388147632e-12,"Ly6C+ CM WT","Tm2d2"
"Ubxn4",1.16185218027017e-16,0.25185596250273,0.713,0.649,1.86279760062717e-12,"Ly6C+ CM WT","Ubxn4"
"Dennd1a1",1.56911662560302e-16,0.678030205197363,0.726,0.665,2.51576468582932e-12,"Ly6C+ CM WT","Dennd1a"
"Man2a12",1.58121656120056e-16,0.291612786625621,0.654,0.501,2.53516451257285e-12,"Ly6C+ CM WT","Man2a1"
"Ythdc1",3.82014951859791e-16,0.273126032272834,0.691,0.623,6.12484572316802e-12,"Ly6C+ CM WT","Ythdc1"
"Prkcd1",5.54737725476812e-16,0.312702671165558,0.784,0.717,8.89410995256972e-12,"Ly6C+ CM WT","Prkcd"
"Tagap1",7.23397876770878e-16,0.544276341045984,0.332,0.241,1.15982381582675e-11,"Ly6C+ CM WT","Tagap1"
"Tceal9",1.09401174388156e-15,0.272858623467256,0.409,0.311,1.7540290289653e-11,"Ly6C+ CM WT","Tceal9"
"Gvin1",1.13359209512881e-15,0.312543025977127,0.299,0.215,1.81748820612002e-11,"Ly6C+ CM WT","Gvin1"
"Mindy3",1.2644794708496e-15,0.29298339216214,0.387,0.291,2.02733993561317e-11,"Ly6C+ CM WT","Mindy3"
"Stat5a",1.47903760570655e-15,0.258299893137644,0.216,0.137,2.37134099322931e-11,"Ly6C+ CM WT","Stat5a"
"Kif1c",1.84113668326282e-15,0.274497705331771,0.283,0.199,2.95189444427528e-11,"Ly6C+ CM WT","Kif1c"
"Ythdf31",2.08201120910774e-15,0.302121864788887,0.699,0.612,3.33808857156245e-11,"Ly6C+ CM WT","Ythdf3"
"Ext12",3.69292861676727e-15,0.60695435679095,0.69,0.623,5.92087245126296e-11,"Ly6C+ CM WT","Ext1"
"Lpp1",4.20726325129275e-15,0.454573968957464,0.71,0.659,6.74550517079767e-11,"Ly6C+ CM WT","Lpp"
"Hsp90b12",4.557760125546e-15,0.268721449799628,0.921,0.901,7.3074568092879e-11,"Ly6C+ CM WT","Hsp90b1"
"Znrf1",6.73628742820872e-15,0.271705506525405,0.505,0.401,1.0800289633647e-10,"Ly6C+ CM WT","Znrf1"
"Mfsd1",7.39153905469144e-15,0.276313245884368,0.573,0.494,1.18508545663868e-10,"Ly6C+ CM WT","Mfsd1"
"Braf",7.49385888784598e-15,0.341630987806248,0.691,0.63,1.20149039548835e-10,"Ly6C+ CM WT","Braf"
"Cd300a1",1.75664685860781e-14,0.314850455874784,0.728,0.697,2.8164319084059e-10,"Ly6C+ CM WT","Cd300a"
"Gsap1",2.8417669675311e-14,0.258891172577201,0.525,0.427,4.55620497904261e-10,"Ly6C+ CM WT","Gsap"
"Fbxo111",2.86393547193496e-14,0.362975738926834,0.673,0.618,4.59174774215332e-10,"Ly6C+ CM WT","Fbxo11"
"Arih1",3.71691105233021e-14,0.254165154965897,0.83,0.766,5.95932349020103e-10,"Ly6C+ CM WT","Arih1"
"Sfpq1",5.69092484809548e-14,0.256907555559989,0.804,0.742,9.12425980895148e-10,"Ly6C+ CM WT","Sfpq"
"Snx1",6.16854777240793e-14,0.273931986534461,0.472,0.391,9.89003264350164e-10,"Ly6C+ CM WT","Snx1"
"Marcksl11",7.571966634893e-14,0.362838305371156,0.64,0.539,1.21401341057239e-09,"Ly6C+ CM WT","Marcksl1"
"Mdh21",8.79284964252692e-14,0.351106639530504,0.555,0.489,1.40975758318634e-09,"Ly6C+ CM WT","Mdh2"
"Cdc42se2",1.36108137655512e-13,0.395393319655221,0.642,0.589,2.18222177103082e-09,"Ly6C+ CM WT","Cdc42se2"
"Nfat5",1.699517511998e-13,0.320989307025843,0.635,0.573,2.72483642698639e-09,"Ly6C+ CM WT","Nfat5"
"Naaa2",3.65073912494211e-13,0.251405359803872,0.446,0.362,5.85323003901968e-09,"Ly6C+ CM WT","Naaa"
"Arid4b",3.88260412115302e-13,0.277072558007651,0.609,0.539,6.22497918744464e-09,"Ly6C+ CM WT","Arid4b"
"Atxn7l1",4.61826668050118e-13,0.386887720402517,0.644,0.581,7.40446696884754e-09,"Ly6C+ CM WT","Atxn7l1"
"Bcl6",5.01170833206832e-13,0.257918839374594,0.505,0.401,8.03527196880513e-09,"Ly6C+ CM WT","Bcl6"
"Btg3",7.69660086197099e-13,0.300662360144621,0.435,0.357,1.23399601619981e-08,"Ly6C+ CM WT","Btg3"
"Homer12",8.68512116736438e-13,0.299678589345725,0.378,0.295,1.39248547676353e-08,"Ly6C+ CM WT","Homer1"
"St6galnac4",1.03684551160422e-12,0.25145957323496,0.346,0.262,1.66237440875505e-08,"Ly6C+ CM WT","St6galnac4"
"Arl8b",2.06335722289939e-12,0.261238989134044,0.606,0.545,3.30818063547459e-08,"Ly6C+ CM WT","Arl8b"
"Tmem512",2.18971615644745e-12,0.292970449211896,0.411,0.34,3.51077191363219e-08,"Ly6C+ CM WT","Tmem51"
"Cndp2",3.66577082189077e-12,0.292198959755211,0.682,0.642,5.87733035873747e-08,"Ly6C+ CM WT","Cndp2"
"Adam91",5.85185438427895e-12,0.34675844978538,0.366,0.298,9.38227813431444e-08,"Ly6C+ CM WT","Adam9"
"Cyld",6.67811128496056e-12,0.263881333378106,0.479,0.401,1.07070158231773e-07,"Ly6C+ CM WT","Cyld"
"Procr",6.69924133773322e-12,0.490555838800764,0.168,0.105,1.07408936367877e-07,"Ly6C+ CM WT","Procr"
"Fbxo331",1.00364703706386e-11,0.28919856112892,0.367,0.288,1.60914729452448e-07,"Ly6C+ CM WT","Fbxo33"
"Gadd45g1",1.72377199321523e-11,0.597266230921105,0.348,0.259,2.76372363672197e-07,"Ly6C+ CM WT","Gadd45g"
"Spin1",1.77455309222533e-11,0.255972110072227,0.335,0.267,2.84514097276487e-07,"Ly6C+ CM WT","Spin1"
"Atf7ip",2.18970794847449e-11,0.382636551601604,0.518,0.445,3.51075875378915e-07,"Ly6C+ CM WT","Atf7ip"
"Foxp12",4.84441792603204e-11,0.446560036200576,0.705,0.655,7.76705526080716e-07,"Ly6C+ CM WT","Foxp1"
"Alpk1",5.2528328791413e-11,0.30532909319085,0.427,0.351,8.42186695512724e-07,"Ly6C+ CM WT","Alpk1"
"Sel1l",8.58450380676409e-11,0.274775138853934,0.493,0.426,1.37635349533849e-06,"Ly6C+ CM WT","Sel1l"
"Cdip1",2.91518786295032e-10,0.256341217795857,0.337,0.265,4.67392070066825e-06,"Ly6C+ CM WT","Cdip1"
"Rps27l3",4.00637832726862e-10,0.272612193638153,0.7,0.628,6.42342637210978e-06,"Ly6C+ CM WT","Rps27l"
"Gm49512",4.30038249487969e-10,0.601054675195976,0.367,0.31,6.8948032540406e-06,"Ly6C+ CM WT","Gm4951"
"Peli11",5.38511947175289e-10,0.287309690147581,0.682,0.629,8.63396204906142e-06,"Ly6C+ CM WT","Peli1"
"Samd9l1",5.70116705607989e-10,0.369745223817748,0.321,0.265,9.14068114101288e-06,"Ly6C+ CM WT","Samd9l"
"Suz12",6.80969277144257e-10,0.262586827979505,0.473,0.412,1.09179804204539e-05,"Ly6C+ CM WT","Suz12"
"Fnip2",8.66462415818973e-10,0.320379233795767,0.601,0.543,1.38919919128256e-05,"Ly6C+ CM WT","Fnip2"
"Tex14",1.86753667722338e-09,0.852400716551813,0.384,0.346,2.99422155459224e-05,"Ly6C+ CM WT","Tex14"
"Nifk",2.12615174919609e-09,0.253484245428367,0.276,0.222,3.40885909948609e-05,"Ly6C+ CM WT","Nifk"
"Tut41",4.69199101110806e-09,0.323871201735221,0.615,0.574,7.52266918810955e-05,"Ly6C+ CM WT","Tut4"
"Slk2",9.87249934949694e-09,0.262205930885364,0.495,0.425,0.000158285782070484,"Ly6C+ CM WT","Slk"
"Trim30d",1.38159917872508e-08,0.30246215206303,0.401,0.35,0.000221511796324993,"Ly6C+ CM WT","Trim30d"
"Itga42",1.42182390245464e-08,0.280429658058384,0.552,0.44,0.000227961026280553,"Ly6C+ CM WT","Itga4"
"Cux1",1.91219359729092e-08,0.319490785163414,0.699,0.677,0.000306581999453653,"Ly6C+ CM WT","Cux1"
"F830016B08Rik",8.9184686503885e-08,0.276998584556388,0.111,0.072,0.00142989807871679,"Ly6C+ CM WT","F830016B08Rik"
"Rassf32",1.94384012694868e-07,0.420202520257592,0.637,0.621,0.00311655887553682,"Ly6C+ CM WT","Rassf3"
"Gnaq1",8.54961470572114e-07,0.399281498073643,0.8,0.808,0.0137075972576827,"Ly6C+ CM WT","Gnaq"
"Parp8",1.08949897756345e-06,0.35198898849349,0.517,0.471,0.0174679371072748,"Ly6C+ CM WT","Parp8"
"Cers62",4.47157363448233e-06,0.499961291855672,0.723,0.578,0.0716927400816553,"Ly6C+ CM WT","Cers6"
"Ddhd11",5.58918149492334e-06,0.413523657535128,0.446,0.409,0.0896113469081058,"Ly6C+ CM WT","Ddhd1"
"Zyx2",9.19140507150872e-06,0.299980818790689,0.596,0.556,0.147365797511499,"Ly6C+ CM WT","Zyx"
"Osbpl8",1.30957761487807e-05,0.407194111005127,0.631,0.624,0.209964578993401,"Ly6C+ CM WT","Osbpl8"
"Rnasel1",1.82337477398266e-05,0.264379301184323,0.375,0.338,0.292341677512639,"Ly6C+ CM WT","Rnasel"
"Cflar",8.26170627448934e-05,0.26335815860728,0.752,0.773,1,"Ly6C+ CM WT","Cflar"
"Rbm47",0.000109592813025622,0.265919197960502,0.729,0.74,1,"Ly6C+ CM WT","Rbm47"
"Mafb",0.000151635899951735,0.403234524579674,0.759,0.824,1,"Ly6C+ CM WT","Mafb"
"Raph11",0.00015864120928215,0.316948814927096,0.434,0.41,1,"Ly6C+ CM WT","Raph1"
"Ddx581",0.000190323533336695,0.266377665474421,0.284,0.254,1,"Ly6C+ CM WT","Ddx58"
"Zeb21",0.0027812417342414,0.335352758472912,0.951,0.936,1,"Ly6C+ CM WT","Zeb2"
"Sfmbt11",0.0056505235299527,0.319770379980637,0.429,0.424,1,"Ly6C+ CM WT","Sfmbt1"
"March3",0.00618345571761634,0.251879681165548,0.233,0.205,1,"Ly6C+ CM WT","March3"
"Cep85l1",0.00650581026474494,0.330040132842892,0.365,0.352,1,"Ly6C+ CM WT","Cep85l"
"Mbnl21",0.00812059418863269,0.304874761839936,0.773,0.746,1,"Ly6C+ CM WT","Mbnl2"
"Ccl8",0,3.80436749362391,0.516,0.02,0,"MHC2+ CM WT","Ccl8"
"Cd4",0,1.0561653322626,0.531,0.02,0,"MHC2+ CM WT","Cd4"
"St18",1.68593069081921e-222,1.143794945533,0.354,0.012,2.70305267659045e-218,"MHC2+ CM WT","St18"
"Ms4a14",2.83763284731063e-174,0.397495475265654,0.266,0.008,4.54957674409313e-170,"MHC2+ CM WT","Ms4a14"
"Ms4a71",9.63213156670907e-159,1.79923633903174,0.854,0.152,1.54431965409047e-154,"MHC2+ CM WT","Ms4a7"
"Mmp13",2.84768401072565e-156,1.90310732996224,0.38,0.025,4.56569177439644e-152,"MHC2+ CM WT","Mmp13"
"Adam191",4.02351347365335e-151,0.776263436798227,0.417,0.031,6.45089915230841e-147,"MHC2+ CM WT","Adam19"
"Hrh1",2.02896450170352e-145,0.517630905695169,0.281,0.013,3.25303878558125e-141,"MHC2+ CM WT","Hrh1"
"Pla2g2d",1.5783444496113e-133,0.678047769209946,0.255,0.012,2.5305596560618e-129,"MHC2+ CM WT","Pla2g2d"
"Ehf",6.23778258624221e-121,0.42970339396707,0.182,0.006,1.00010368205221e-116,"MHC2+ CM WT","Ehf"
"Apol7c",7.04831722100412e-112,0.825692102052751,0.224,0.011,1.13005670004359e-107,"MHC2+ CM WT","Apol7c"
"Hsph11",2.93453276141013e-110,2.5385858348024,0.917,0.306,4.70493637636886e-106,"MHC2+ CM WT","Hsph1"
"H2-M21",3.63411469208475e-100,1.55129838402477,0.312,0.027,5.82657608581948e-96,"MHC2+ CM WT","H2-M2"
"Lyve1",3.79176084270641e-100,1.10380126609624,0.229,0.014,6.07933015911119e-96,"MHC2+ CM WT","Lyve1"
"Col3a1",6.47589515526821e-98,0.431425449531914,0.141,0.004,1.03828027024415e-93,"MHC2+ CM WT","Col3a1"
"Dnase1l31",2.18295889095663e-94,1.90180528123891,0.583,0.112,3.49993798987076e-90,"MHC2+ CM WT","Dnase1l3"
"Hspa1b1",1.11001124834441e-93,2.81362892277103,0.964,0.468,1.7796810344706e-89,"MHC2+ CM WT","Hspa1b"
"Mrc12",1.47830657752574e-91,2.0357906565654,0.932,0.281,2.37016893574702e-87,"MHC2+ CM WT","Mrc1"
"Sulf21",2.10382837397181e-91,0.831461505523723,0.505,0.082,3.373068031989e-87,"MHC2+ CM WT","Sulf2"
"Reps2",1.36960466642961e-86,1.07718600742103,0.375,0.048,2.1958871616866e-82,"MHC2+ CM WT","Reps2"
"Hspa1a1",1.80086035122121e-85,2.46818430303956,0.953,0.483,2.88731940111297e-81,"MHC2+ CM WT","Hspa1a"
"Pxdc11",1.34081477502662e-79,1.61285703549027,0.568,0.122,2.14972832880018e-75,"MHC2+ CM WT","Pxdc1"
"Cbr22",4.80909924722402e-78,1.01610230285649,0.344,0.044,7.71042882307427e-74,"MHC2+ CM WT","Cbr2"
"Syne1",4.16712652444682e-76,0.929990869821836,0.302,0.034,6.68115395664559e-72,"MHC2+ CM WT","Syne1"
"Tm4sf19",4.78160385813195e-76,0.322419739083647,0.161,0.009,7.66634546574295e-72,"MHC2+ CM WT","Tm4sf19"
"Hspb1",8.76211633501349e-75,2.33514274891013,0.365,0.052,1.40483011199271e-70,"MHC2+ CM WT","Hspb1"
"Fxyd21",3.08147921899442e-72,0.464454349462721,0.38,0.055,4.94053563181376e-68,"MHC2+ CM WT","Fxyd2"
"Irs21",9.69257524395303e-72,1.76146852904467,0.734,0.245,1.55401058886299e-67,"MHC2+ CM WT","Irs2"
"Arhgap102",9.8716476008032e-72,1.50366531096106,0.573,0.137,1.58272125983678e-67,"MHC2+ CM WT","Arhgap10"
"Hsp90aa11",1.10410792708679e-71,2.26402929886315,0.964,0.84,1.77021623949825e-67,"MHC2+ CM WT","Hsp90aa1"
"Bag3",5.30162306255162e-71,2.46527307683838,0.786,0.306,8.50009225618901e-67,"MHC2+ CM WT","Bag3"
"Hspd1",2.07460162779262e-69,2.57492654417247,0.88,0.519,3.32620878983991e-65,"MHC2+ CM WT","Hspd1"
"Gas2l31",3.70704195481217e-69,1.18245668198441,0.635,0.167,5.94350036615035e-65,"MHC2+ CM WT","Gas2l3"
"Hspa51",9.96052075223727e-69,1.88842516566588,0.995,0.941,1.5969702922062e-64,"MHC2+ CM WT","Hspa5"
"Aoah2",1.16323343976748e-67,1.56563886531307,0.812,0.293,1.8650121739792e-63,"MHC2+ CM WT","Aoah"
"Cystm11",1.64114117087703e-67,0.629447818968105,0.495,0.097,2.63124163926714e-63,"MHC2+ CM WT","Cystm1"
"Cd931",3.41375251563844e-67,1.24975258103544,0.776,0.27,5.47326940832312e-63,"MHC2+ CM WT","Cd93"
"Mgl21",8.38295467404131e-67,0.399620068360326,0.589,0.126,1.34403912288904e-62,"MHC2+ CM WT","Mgl2"
"Cd28",5.09108512564106e-65,0.307325468364092,0.125,0.006,8.16253678194032e-61,"MHC2+ CM WT","Cd28"
"Rgs9",6.60638422679953e-65,0.386066287629829,0.203,0.018,1.05920158308277e-60,"MHC2+ CM WT","Rgs9"
"Zfand2a1",1.54722669712228e-64,1.47489979845254,0.693,0.216,2.48066856349616e-60,"MHC2+ CM WT","Zfand2a"
"Ccnd22",1.78144462544018e-63,0.688378579814903,0.484,0.099,2.85619016796824e-59,"MHC2+ CM WT","Ccnd2"
"Rab7b2",3.56445387540774e-63,1.7593891565247,0.766,0.303,5.71488889844124e-59,"MHC2+ CM WT","Rab7b"
"Ccl71",5.58718628870125e-63,1.51313815652915,0.479,0.098,8.95793577667472e-59,"MHC2+ CM WT","Ccl7"
"Hspe11",1.33330081062674e-62,2.61389986406831,0.911,0.699,2.13768118967785e-58,"MHC2+ CM WT","Hspe1"
"Dnaja11",3.18593513934068e-62,2.2485711780369,0.964,0.736,5.10800980890491e-58,"MHC2+ CM WT","Dnaja1"
"Dnajb1",1.83929782182126e-61,2.1915349413474,0.812,0.378,2.94894619772603e-57,"MHC2+ CM WT","Dnajb1"
"Ciart",2.87061228021956e-61,0.490791815914199,0.297,0.04,4.60245266887601e-57,"MHC2+ CM WT","Ciart"
"Il101",1.57143172053186e-60,1.46108396806186,0.375,0.065,2.51947647752874e-56,"MHC2+ CM WT","Il10"
"Gsn3",4.87039268349344e-60,0.736042527092521,0.641,0.175,7.80870058944503e-56,"MHC2+ CM WT","Gsn"
"Dab23",1.50987179297841e-59,1.72058104716905,0.922,0.509,2.42077744568229e-55,"MHC2+ CM WT","Dab2"
"Kctd191",3.15983613954912e-59,0.919592261890421,0.297,0.041,5.0661652825391e-55,"MHC2+ CM WT","Kctd19"
"Vcam11",4.85948334343707e-59,1.74786280417386,0.661,0.199,7.79120964453266e-55,"MHC2+ CM WT","Vcam1"
"Lgals12",5.19112581619269e-59,1.22690023836492,0.755,0.257,8.32293202110174e-55,"MHC2+ CM WT","Lgals1"
"Zmynd151",5.3122618430833e-59,0.642827958651772,0.401,0.074,8.51714941301545e-55,"MHC2+ CM WT","Zmynd15"
"Myo5a2",8.64013853630165e-58,1.61416018040255,0.755,0.288,1.38527341152524e-53,"MHC2+ CM WT","Myo5a"
"Arl4d",1.01328880456117e-57,0.674221273057904,0.286,0.041,1.62460594035292e-53,"MHC2+ CM WT","Arl4d"
"Herpud11",3.06776874176937e-57,1.72094530705386,0.943,0.694,4.91855362367882e-53,"MHC2+ CM WT","Herpud1"
"Apold1",8.01897762944917e-57,1.16499364267541,0.516,0.123,1.28568268332959e-52,"MHC2+ CM WT","Apold1"
"Gdf15",1.84975605219737e-56,1.83885011977289,0.49,0.116,2.96571387848805e-52,"MHC2+ CM WT","Gdf15"
"Bgn",5.41882900349588e-56,0.280950938787191,0.141,0.009,8.68800854130495e-52,"MHC2+ CM WT","Bgn"
"Pgf1",7.31088405891441e-56,0.861579886879056,0.224,0.025,1.17215404116575e-51,"MHC2+ CM WT","Pgf"
"Gxylt2",9.51304925598034e-56,0.425847312985145,0.219,0.024,1.52522718721133e-51,"MHC2+ CM WT","Gxylt2"
"Igkc1",3.69827478542615e-55,0.530589377255008,0.396,0.076,5.92944396347374e-51,"MHC2+ CM WT","Igkc"
"Mdfic1",5.3968743042453e-55,1.4033806225181,0.844,0.373,8.6528085719965e-51,"MHC2+ CM WT","Mdfic"
"Tank2",1.50881434154363e-54,1.95471686892258,0.917,0.62,2.4190820337969e-50,"MHC2+ CM WT","Tank"
"Igfbp41",3.50691829175517e-54,1.21838116130622,0.542,0.156,5.62264209717106e-50,"MHC2+ CM WT","Igfbp4"
"Gas6",3.36813904668464e-53,1.04722614560944,0.578,0.164,5.40013733354948e-49,"MHC2+ CM WT","Gas6"
"Tpm2",4.84832924862493e-53,0.592768414293761,0.141,0.01,7.77332628432035e-49,"MHC2+ CM WT","Tpm2"
"Sh3pxd2b1",8.31078136608414e-53,0.811941309941642,0.615,0.184,1.33246757642427e-48,"MHC2+ CM WT","Sh3pxd2b"
"Frmd6",3.17101848463143e-51,0.43471801910419,0.292,0.046,5.08409393640958e-47,"MHC2+ CM WT","Frmd6"
"Cxcl21",1.76995884837083e-50,1.98271075364246,0.849,0.418,2.83777502159296e-46,"MHC2+ CM WT","Cxcl2"
"Tns1",9.67929817667957e-50,0.572992169086493,0.323,0.057,1.55188187666704e-45,"MHC2+ CM WT","Tns1"
"Lilr4b1",1.38288540077202e-49,1.25426318857892,0.87,0.462,2.21718016305779e-45,"MHC2+ CM WT","Lilr4b"
"Antxr21",1.57265984778512e-49,1.56895136796421,0.781,0.306,2.52144553395389e-45,"MHC2+ CM WT","Antxr2"
"Lmna1",3.69953788754557e-49,1.29528042169871,0.812,0.367,5.93146909510181e-45,"MHC2+ CM WT","Lmna"
"P2rx7",8.74624769300827e-49,2.24837450374973,0.76,0.361,1.40228589262002e-44,"MHC2+ CM WT","P2rx7"
"Bex3",1.38597788833888e-48,0.69793830463005,0.557,0.158,2.22213834837373e-44,"MHC2+ CM WT","Bex3"
"Nrp2",2.19737430412293e-48,1.44077854720153,0.641,0.211,3.52305022180029e-44,"MHC2+ CM WT","Nrp2"
"Ahr1",2.35823532816375e-48,1.03448277380818,0.651,0.217,3.78095870164494e-44,"MHC2+ CM WT","Ahr"
"Cxcr41",2.49535674072732e-48,0.932029117937813,0.708,0.233,4.00080546240812e-44,"MHC2+ CM WT","Cxcr4"
"Rcn3",2.96174509412579e-48,0.283053918897745,0.198,0.023,4.74856590941188e-44,"MHC2+ CM WT","Rcn3"
"Clec4n3",1.30672974675508e-47,0.870885384063962,0.714,0.251,2.09507980297242e-43,"MHC2+ CM WT","Clec4n"
"Slamf71",2.21153736090364e-47,0.960944237787516,0.714,0.235,3.54575785073681e-43,"MHC2+ CM WT","Slamf7"
"Kitl1",2.29118954488956e-47,0.923966042412098,0.422,0.102,3.67346419732144e-43,"MHC2+ CM WT","Kitl"
"Ms4a4a1",1.52513387029259e-46,0.304468169402975,0.245,0.035,2.44524713424011e-42,"MHC2+ CM WT","Ms4a4a"
"Hspa82",7.72333612224199e-46,1.32050876377479,0.979,0.96,1.23828248047906e-41,"MHC2+ CM WT","Hspa8"
"Ddit31",7.97672245510521e-46,1.49487640888374,0.792,0.38,1.27890791122702e-41,"MHC2+ CM WT","Ddit3"
"Sdc42",1.47463321071377e-45,1.26688278943012,0.859,0.409,2.36427942673738e-41,"MHC2+ CM WT","Sdc4"
"Dcn",2.93111214233834e-44,0.331766786125496,0.151,0.014,4.69945209781106e-40,"MHC2+ CM WT","Dcn"
"Gpr137b1",1.05950337234182e-43,0.948513668629548,0.667,0.258,1.69870175687564e-39,"MHC2+ CM WT","Gpr137b"
"Cxcl11",1.20262664337983e-43,2.34976151917728,0.349,0.076,1.92817129733088e-39,"MHC2+ CM WT","Cxcl1"
