NAME	SYMBOL	TITLE	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_213	Rasgef1b	na	12910	-0.9050177931785583	-0.53180945	Yes	
row_214	Mt2	na	12914	-0.9071882963180542	-0.52868193	Yes	
row_215	Zfp395	na	12921	-0.9101565480232239	-0.52576417	Yes	
row_216	Lpp	na	12966	-0.9360023140907288	-0.5255459	Yes	
row_217	Plek	na	12972	-0.9413557052612305	-0.52243936	Yes	
row_218	Rasa1	na	12998	-0.9571386575698853	-0.52074564	Yes	
row_219	Pdk1	na	12999	-0.9573097229003906	-0.51721245	Yes	
row_220	Calcrl	na	13013	-0.9648265838623047	-0.5146077	Yes	
row_221	Myo10	na	13056	-0.9963796138763428	-0.51401955	Yes	
row_222	Arhgap12	na	13059	-0.9991787672042847	-0.510479	Yes	
row_223	Cxcl2	na	13066	-1.004536509513855	-0.5072128	Yes	
row_224	Maff	na	13077	-1.0104670524597168	-0.504219	Yes	
row_225	Tmem140	na	13083	-1.013628602027893	-0.50084573	Yes	
row_226	Selenop	na	13088	-1.0167982578277588	-0.49738726	Yes	
row_227	Fth1	na	13154	-1.0622332096099854	-0.49824768	Yes	
row_228	Slc38a6	na	13170	-1.073412299156189	-0.49538928	Yes	
row_229	Glul	na	13215	-1.099382996559143	-0.49456805	Yes	
row_230	Lrp12	na	13225	-1.1048179864883423	-0.49115244	Yes	
row_231	Pea15a	na	13249	-1.123854398727417	-0.4886963	Yes	
row_232	Trim47	na	13288	-1.161925196647644	-0.4872029	Yes	
row_233	Tspan3	na	13328	-1.1921765804290771	-0.48567143	Yes	
row_234	Itga6	na	13353	-1.2191424369812012	-0.48293716	Yes	
row_235	Xrcc5	na	13354	-1.221097707748413	-0.47843045	Yes	
row_236	Vat1	na	13359	-1.2265129089355469	-0.47419795	Yes	
row_237	Etv5	na	13362	-1.2302125692367554	-0.4698047	Yes	
row_238	Lhfpl2	na	13374	-1.2400373220443726	-0.46603715	Yes	
row_239	Syne1	na	13377	-1.241262674331665	-0.4616031	Yes	
row_240	Tnfaip3	na	13382	-1.2471532821655273	-0.45729443	Yes	
row_241	C5ar1	na	13389	-1.2530946731567383	-0.45311093	Yes	
row_242	Dnmt3a	na	13421	-1.2869439125061035	-0.45064127	Yes	
row_243	Tspan4	na	13440	-1.3074252605438232	-0.4471399	Yes	
